Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
Cuba,CUB,2021,22.05733,0.005078,19.137243,2.209094,0.633291,0.072624,,1.959542
Curaçao,CUW,2021,1.843765,0,1.843765,0,0,0,,9.686792
Cyprus,CYP,2021,7.600422,0.201473,6.496579,0.00022,0.882317,0,0.019833,6.108741
Czechia,CZE,2021,97.138329,51.777952,23.232264,18.681187,1.891029,0.052561,1.503336,9.241807
North Korea,PRK,2021,56.380104,50.454114,3.44551,0,2.48048,0,,2.170811
Dem. Rep. Congo,COD,2021,2.606688,0,2.155646,0,0.451042,0,,0.027183
Denmark,DNK,2021,29.576956,4.376753,18.665928,4.778313,1.226954,0.126262,0.402746,5.052228
Djibouti,DJI,2021,0.379178,0,0.301679,0,0.077499,0,,0.342974
Dominica,DMA,2021,0.158529,0,0.158529,0,0,0,,2.189268
Dominican Republic,DOM,2021,28.922094,4.524063,19.237185,2.989818,2.171027,0,,2.601405
Ecuador,ECU,2021,41.321734,0,35.500845,1.026362,2.47237,2.322157,,2.321741
Egypt,EGY,2021,249.624151,6.228362,97.011732,126.313455,16.155578,3.915025,,2.284635
El Salvador,SLV,2021,7.204384,0.004499,6.742418,0,0.457466,0,,1.140987
Equatorial Guinea,GNQ,2021,5.224788,0,1.11815,3.627915,0,0.478723,,3.196633
Eritrea,ERI,2021,0.820601,0,0.712103,0,0.108498,0,,0.226666
